date,n1,n2,n3,n4,n5,n6
2023-12-31,24,56,33,48,21,41
2023-12-16,7,4,35,16,46,54
2023-12-14,46,30,41,27,1,57
2023-12-12,4,46,21,51,8,1
2023-12-09,29,5,43,47,30,25
2023-12-07,3,39,21,22,14,37
2023-12-05,15,40,17,12,52,30
2023-12-02,27,7,56,11,41,59
2023-11-30,31,20,42,40,17,34
2023-11-28,35,38,30,41,56,6
2023-11-25,13,38,60,6,12,20
2023-11-23,36,55,60,53,11,46
2023-11-21,60,51,13,5,39,58
2023-11-18,7,53,33,36,32,27
2023-11-14,57,27,46,20,24,58
2023-11-11,30,31,49,23,56,10
2023-11-09,23,17,47,51,36,11
2023-11-07,43,48,60,14,41,32
2023-11-04,59,45,23,13,29,26
2023-11-01,23,59,36,6,35,37
2023-10-28,37,58,18,39,29,9
2023-10-26,46,32,11,56,6,26
2023-10-24,59,45,44,46,56,20
2023-10-21,54,33,9,50,39,43
2023-10-19,58,28,41,30,18,39
2023-10-17,34,59,22,51,42,8
2023-10-14,22,30,17,4,49,28
2023-10-10,10,29,56,2,59,31
2023-10-07,31,8,49,33,50,13
2023-10-05,39,9,45,24,50,34
2023-10-03,27,32,28,8,4,10
2023-09-30,49,22,48,8,11,2
2023-09-28,44,55,54,30,34,9
2023-09-26,32,34,10,1,59,2
2023-09-23,43,16,5,38,42,48
2023-09-21,37,29,6,58,56,11
2023-09-19,56,8,28,48,32,27
2023-09-16,33,45,2,54,25,23
2023-09-14,10,57,5,56,38,27
2023-09-12,50,53,14,36,26,39
2023-09-09,14,18,38,31,26,22
2023-09-05,48,40,35,41,11,32
2023-09-02,54,32,5,53,40,14
2023-08-31,57,31,58,43,13,25
2023-08-29,16,13,9,1,59,52
2023-08-26,10,35,9,55,58,44
2023-08-24,31,58,5,52,37,47
2023-08-22,59,35,10,15,20,37
2023-08-19,24,22,50,19,60,9
2023-08-16,14,47,9,16,42,6
2023-08-12,26,21,13,4,6,28
2023-08-09,41,5,50,39,44,36
2023-08-05,45,17,29,35,48,6
2023-08-02,44,42,36,3,14,43
2023-07-29,49,38,6,23,35,16
2023-07-27,41,23,59,22,7,5
2023-07-25,3,25,19,14,13,8
2023-07-22,46,40,26,14,42,52
2023-07-19,44,50,34,27,54,20
2023-07-15,25,18,4,49,21,12
2023-07-12,53,55,10,23,34,57
2023-07-08,21,35,27,60,3,32
2023-07-05,7,13,29,17,52,24
2023-07-01,57,25,11,60,7,51
2023-06-29,32,45,49,16,10,2
2023-06-27,5,54,35,46,11,26
2023-06-24,19,16,17,22,46,57
2023-06-21,3,56,29,13,52,7
2023-06-17,32,30,46,11,16,14
2023-06-14,40,8,34,3,44,55
2023-06-10,46,4,37,38,60,18
2023-06-07,43,28,34,23,60,47
2023-06-03,7,53,14,58,60,24
2023-05-31,58,56,54,26,14,34
2023-05-27,35,47,56,39,51,34
2023-05-24,52,13,1,39,50,34
2023-05-20,7,55,32,26,49,35
2023-05-17,14,17,10,32,25,39
2023-05-13,51,35,34,28,15,17
2023-05-11,30,28,23,11,21,10
2023-05-09,43,36,2,48,28,12
2023-05-06,36,1,16,32,15,25
2023-05-03,31,22,9,13,57,58
2023-04-29,5,22,11,37,10,23
