date,n1,n2,n3,n4,n5,n6
2024-07-25,46,55,6,31,52,26
2024-07-23,15,24,44,40,4,47
2024-07-20,42,18,53,13,52,4
2024-07-18,11,7,36,52,19,12
2024-07-16,27,38,43,8,44,25
2024-07-13,19,52,46,50,43,32
2024-07-10,28,14,36,45,24,17
2024-07-06,30,22,27,51,43,56
2024-07-04,7,11,2,52,57,5
2024-07-02,34,25,33,10,26,38
2024-06-29,27,37,25,53,13,30
2024-06-27,11,2,25,37,32,57
2024-06-25,42,33,1,35,39,56
2024-06-22,17,41,34,13,47,16
2024-06-20,53,25,19,45,47,37
2024-06-18,44,46,2,60,19,25
2024-06-15,30,20,37,34,16,45
2024-06-13,35,26,24,11,17,43
2024-06-11,47,53,59,46,5,33
2024-06-08,48,35,60,59,21,27
2024-06-06,20,14,56,39,21,44
2024-06-04,18,49,1,60,16,3
2024-06-01,49,12,58,32,4,45
2024-05-28,46,29,41,60,24,7
2024-05-25,47,54,20,41,27,53
2024-05-23,2,43,11,9,25,51
2024-05-21,51,39,4,32,57,48
2024-05-18,59,27,53,55,49,45
2024-05-16,47,33,32,38,2,10
2024-05-14,24,54,26,21,11,42
2024-05-11,6,12,28,60,19,50
2024-05-09,36,25,44,23,19,46
2024-05-07,48,9,11,46,10,25
2024-05-04,43,15,42,16,23,8
2024-04-30,42,25,48,27,16,30
2024-04-27,41,34,59,46,30,6
2024-04-25,36,6,50,34,22,44
2024-04-23,48,27,28,49,20,5
2024-04-20,25,19,53,7,50,46
2024-04-18,17,45,57,42,52,16
2024-04-16,58,9,23,35,25,26
2024-04-13,35,19,7,40,42,15
2024-04-11,36,55,14,38,60,46
2024-04-09,44,50,25,42,5,6
2024-04-06,22,12,23,47,24,53
2024-04-04,19,11,12,10,28,23
2024-04-02,39,9,11,54,7,57
2024-03-30,45,24,17,30,10,11
2024-03-26,35,2,47,22,27,16
2024-03-23,3,25,31,10,7,52
2024-03-21,56,3,35,11,38,7
2024-03-19,40,46,6,20,13,34
2024-03-16,6,18,47,31,32,15
2024-03-14,11,19,28,20,1,48
2024-03-12,31,23,49,54,9,58
2024-03-09,60,2,18,35,45,19
2024-03-07,25,42,13,11,10,27
2024-03-05,13,39,55,4,59,18
2024-03-02,40,33,34,17,15,32
2024-02-29,41,22,7,20,58,29
2024-02-27,50,29,44,11,46,45
2024-02-24,56,33,55,45,9,59
2024-02-22,15,28,40,37,57,13
2024-02-20,43,45,9,28,55,33
2024-02-17,16,48,52,47,9,20
2024-02-15,12,33,41,46,17,54
2024-02-10,2,30,34,4,24,50
2024-02-08,6,41,12,43,20,59
2024-02-06,51,46,9,31,47,16
2024-02-03,26,45,53,48,46,17
2024-02-01,3,57,27,1,47,23
2024-01-30,29,4,17,58,30,52
2024-01-27,47,20,30,42,53,10
2024-01-25,45,57,3,11,42,46
2024-01-23,26,7,38,51,18,20
2024-01-20,16,54,13,37,10,18
2024-01-18,3,54,7,34,42,32
2024-01-16,14,4,19,29,22,6
2024-01-13,34,45,31,26,42,1
2024-01-11,46,23,15,21,14,8
2024-01-09,35,45,52,4,27,56
2024-01-06,40,10,13,20,56,43
2024-01-04,53,43,19,16,58,57
